text,source,translated
"These are people who certainly have not proved that they are worthy of the trust that we repose in them. As far as this job is concerned, let me also indicate that when it comes to BECE, most of the decisions are taken by the Ghana Education Service. For example, the selection of supervisors and invigilators is done by the district exams officer, he explained. His comments come in the wake of a JoyNews Hotline investigation led by GH Probe’s Francisca Enchil, which uncovered disturbing levels of collusion at examination centres.",news,"[Ni abantu bari bimeze gutanga icyo bavuze ko bafite icyizere cyacu. Ku kibazo cy’akazi, nashimira kubivuga ko mu kazi ya BECE, amategeko y’ingero yose yafashwe na Serivisi ya Kinyarwanda ya Ghana. Kwa mfano, ubwiriza bw’abashinze na abayobera byafashwe na umuyobozi wa parike y’examu, yavuze. Ibi yavuze mu gihe cyo kubera ubushakashatsi bwakozwe na JoyNews Hotline bwari bwitwa Francisca Enchil wa GH Probe, bukomeje kubona uburyo bwo kwiyemeza mu ishuri.]"
"A variety of socioeconomic and cultural factors were identified as major barriers to accessing and utilizing MHCS. Over half of the women surveyed cited poverty, illiteracy, restrictions from their husbands, the distance to health facilities, and long queues as reasons for not using services. Additionally, over a third of the women pointed to cultural practices within their communities as a cause for delays in seeking care. These findings reveal that addressing maternal health in this region requires more than just improving clinical services; it also means tackling deeply rooted societal and personal challenges that women face daily.",academic,"[Ubwoko bw'ibikorwa by'ubukungu n'uturage butandukanye byabonye ko ari byo bivuze kugera no kuganira serivisi za MHCS. Zaidi ya nusu ya ba mukecuru barije kubika ubukene, kutokwizwa, kubwirwa na bavandimwe, umbali kwa serivisi za afya, na amasaha maremare kuwunganisha kuganira serivisi. Kugira icyo gihe, zaidi ya gatatu ya ba mukecuru zarije kw'ibikorwa by'uturage mu muryango wabo kuriyo gihe cyo kwiruka kuganira serivisi. Ibi byerekana ko kuganira ubukene wa mukecuru mu karere haki ni gusa kuzamura serivisi za afya; kugira icyo gihe, kuganira ibikorwa by'uturage na by'umwirabura by'umwirabura by'umwirabura by'umwirabura by'umwirabura by'umwirabura by'umwirabura by'umwirabura by'umwirabura by'umwirabura by'umwirabura by'umwirabura by'umwirabura by'umwirabura by'umwirabura by'umwirabura by'umwirabura by'umwirabura by'umwirabura by'umwirabura by'umwirabura by'umwirabura by'umwirabura by'umwirabura by'umwirabura by'umwirabura by'umwirabura by'umwirabura by'umwirabura by'umwirabura by'umwirabura by'umwirabura by'umwirabura by'umwirabura by'umwirabura by'umwirabura by'umwirabura by'umwirabura by'umwirabura by'umwirabura by'umwirabura by'umwirabura by'umwirabura by'umwirabura by'umwirabura by'umwirabura by'umwirabura by'umwirabura by'umwirabura by'umwirabura by'umwirabura by'umwirabura by'umwirabura by'umwirabura by'umwirabura by'umwirabura by'umwirabura by'umwirabura by'umwirabura by'umwirabura by'umwirabura by'umwirabura by'umwirabura by'umwirabura by'umwirabura by'umwirabura by'umwirabura by'umwirabura by'umwirabura by'umwirabura by'umwirabura by'umwirabura by'umwirabura by'umwirabura by'umwirabura by'umwirabura by'umwirabura by'umwirabura by'umwirabura by'umwirabura by'umwirabura by'umwirabura by'umwirabura by'umwirabura by'umwirabura by'umwirabura by'umwirabura by'umwirabura by'umwirabura by'umwirabura by'umwirabura by'umwirabura by'umwirabura by'umwirabura by'umwirabura by'umwirabura by'umwirabura by'umwirabura by'umwirabura by'umwirabura by'umwirabura by'umwirabura by'umwirabura by'umwirabura by'umwirabura by'umwirabura by'umwirabura by'umwirabura by'umwirabura by'umwirabura by'umwirabura by'umwirabura by'umwirabura by'umwirabura by'umwirabura by'umwirabura by'umwirabura by'umwirabura by'umwirabura by'umwirabura by'umwirabura by'umwirabura by'umwirabura by'umwirabura by'umwirabura by'umwirabura by'umwirabura by'umwirabura by'umwirabura by'umwirabura by'umwirabura by'umwirabura by'umwirabura by'umwirabura by'umwirabura by'umwirabura by'umwirabura by'umwirabura by'umwirabura by'umwirabura by'umwirabura by'umwirabura by'umwirabura by'umwirabura by'umwirabura by'umwirabura by'umwirabura by'umwirabura by'umwirabura by'umwirabura by'umwirabura by'umwirabura by'umwirabura by'umwirabura by'umwirabura by'umwirabura by'umwirabura by'umwirabura by'umwirabura by'umwirabura by'umwirabura by'umwirabura by'umwirabura by'umwirabura by'umwirabura by'umwirabura by'umwirabura by'umwirabura by'umwirabura by'umwirabura by'umwirabura by'umwirabura by'umwirabura by'umwirabura by'umwirabura by'umwirabura by'umwirabura by'umwirabura by'umwirabura by'umwirabura by'umwirabura by'umwirabura by'umwirabura by'umwirabura by'umwirabura by'umwirabura by'umwirabura by'umwirabura by'umwirabura by'umwirabura by'umwirabura by'umwirabura by'umwirabura by'umwirabura by'umwirabura by'umwirabura by'umwirabura by'umwirabura by'umwirabura by'umwirabura by'umwirabura by'umwirabura by'umwirabura by'umwirabura by'umwirabura by'umwirabura by'umwirabura by'umwirabura by'umwirabura by'umwirabura by'umwirabura by'umwirabura by'umwirabura by'umwirabura by'umwirabura by'umwirabura by'umwirabura by'umwirabura by'umwirabura by'umwirabura by'umwirabura by'umwirabura by'umwirabura by'umwirabura by'umwirabura by'umwirabura by'umwirabura by'umwirabura by'umwirabura by'umwirabura by'umwirabura by'umwirabura by'umwirabura by'umwirabura by'umwirabura by'umwirabura by'umwirabura by'umwirabura by'umwirabura by'umwirabura by'umwirabura by'umwirabura by'umwirabura by'umwirabura by'umwirabura by'umwirabura by'umwirabura by'umwirabura by'umwirabura by'umwirabura by'umwirabura by'umwirabura by'umwirabura by'umwirabura by'umwirabura by'"
"Despite his shortcomings, Unoka was a talented musician. He was a tall but very thin man with a slight stoop and a mournful look, which would disappear when he was drinking or playing his flute. His happiest moments came in the months after the harvest, when the village musicians would retrieve their instruments from above the fireplace. Unoka would join them, his face filled with pure joy and peace. Sometimes, other villages would invite Unoka and his band to teach them their tunes, and they would stay for several months, sharing their music.",literature,"[Ndakurwanya kubura kwake, Unoka yari umuhanzi mwiza. Yari umugabo muremure kandi muto kubera, afite ibibazo n'umutima ushaje, ibyo byari bigaruka igihe yari kumwaga inzoga au kurya inanga yake. Igihe cy'umwaka cyari kigera mu minsi ikurikira ivyaro, abahanzi b'umudugudu barikwaga ibikoresho vyabo vya muzika kuva hejuru y'umuriro. Unoka yari kubashirira, umutima wake ukomeje umworo n'umwuka. Mw'igihe, imidugudu mingine yari kumpa Unoka na bendi yake kwigisha ivyinshi vyabo, nabo barabashirira kwa minsi mingi, bakishirira muzika yabo.]"
"At the Derby Avenue RC Basic School and St. George’s Anglican Basic School in Accra, invigilators were captured openly demanding GH¢60 daily tokens, supervisors pocketed envelopes of GH¢400, and candidates were asked to contribute to an Aseda Offertory. John Kapi stressed that once WAEC provides feedback on such incidents, it is the responsibility of the Ghana Education Service (GES) to take decisive action. And so when these issues come up, once the feedback goes to them, we [WAEC] expect that they would react appropriately and ensure that the right action is taken against the people, he said.",news,"[Mu ishuri rya Derby Avenue RC Basic School na St. George’s Anglican Basic School i Accra, abarizwa amakarita barahamagaye bari bapfa GH¢60 kwa kila siku, abashinze baramwegera amafaranga ya GH¢400, n’abanyeshuri barabwirwa kugira ngo kuva mu Aseda Offertory. John Kapi yavuze ko uko WAEC ibonye ibitekerezo ku kibazo, ni wajibu wa Ghana Education Service (GES) kugira icyo abantu bakeneye. N’uko ibibazo vyiza, uko ibitekerezo bigiye kubagezwa, tun [WAEC] tukizeza ko bazakomeza kugira icyo abantu bakeneye na kugira icyo abantu bakeneye kugira icyo abantu bakeneye kugira icyo abantu bakeneye.]"
"For rural communities in Ghana, especially in the Kumbungu district, access to and use of maternal healthcare services (MHCS) remain a significant challenge. This study set out to explore the specific barriers preventing women from utilizing these services and to evaluate the quality of care provided. The research adopted a mixed-methods approach, combining both quantitative and qualitative data to get a comprehensive view of the situation. This phased design involved surveying 441 pregnant and postpartum women and conducting interviews with 20 healthcare providers. A facility checklist was also used to assess the state of clinics, including the availability of essential drugs and equipment.",academic,"[Urwego rwo kubona na kugena serivisi za afya ya mababyeyi (MHCS) mu mirenge ya Ghana, haswa mu karere ka Kumbungu, ni ikibazo gikomeye. Ushusho huu watejeje kwiga ibibazo byo mu kigero byakubangamira abagore kugena serivisi hizi no kumenyesha ubora w’ubuvuzi bwaberekerwa. Ushusho huu watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje watejeje wateje"
"Okonkwo was a man of great renown throughout his nine villages and even beyond, a fame built entirely on his own remarkable achievements. At just eighteen years old, he brought honor to his village by defeating Amalinze the Cat, a legendary wrestler who had been undefeated for seven years. Amalinze earned his nickname because his back never once touched the earth. The old men of the village considered Okonkwo's victory one of the fiercest fights they had ever seen.",literature,"[Okonkwo yari umugabo w'umwirabura mwinshi mu miryango yake itandatu na kure, umwirabura watewe n'ibikorwa by'ingenzi by'umwirabura we. Akiwa afite imyaka kumi na nane gusa, yagiriza umwirabura umujyi wake kwa kubwira Amalinze Igihe, umukinnyi w'ingoma wari warushijwe kwa myaka saba. Amalinze yari atuyeze izina rye kubera ko umugongo we wari utaraba k'umuhanda. Abakuru b'umujyi bari bamaze kubona ingoma zikomeye nk'izo Okonkwo yari yabwiye.]"
"Muntaka assured the committee of full logistical and secretariat support from the Ministry and urged them to partner with civil society organizations, development partners, and faith-based institutions in carrying out their work. He described the task as heavy but honorable, stressing that the people of Gbenyiri and surrounding communities were looking up to the committee as instruments of peace, reconciliation, and healing.",news,"[Muntaka yashimye komite y'ubufatanye bw'umwanzuro na serikali ya minisiteri, akababwira kw'abafatanyabikorwa n'amasosiyete y'abaturage, abafatanyabikorwa b'umuryango w'abibumbye, na madamu y'ibikorwa by'imana mu kubikora. Yabwiye ko umwanzuro ni mwinshi ariko ni w'umwirabura, akabaza ku kubwira ko abaturage ba Gbenyiri na komuniti zirikurira zirababwira komite nk'inzangano z'umwuka, z'ubumwe, na z'uburabura.]"
"The study also shed light on significant facility-based challenges that compromise the quality of care. A key issue was the inadequate number of midwives, which likely contributes to the long queues women reported. Additionally, the absence of essential equipment and drugs was a major problem. For example, health service providers specifically recommended a greater number of trained midwives and the provision of critical logistics like ultrasound machines and proper delivery equipment to ensure effective and high-quality care.",academic,"[Ubushakashatsi kandi bwerekanye ibibazo bikomeye by’ikigo bigabanya ubora w’ubuvuzi. Ikibazo cy’ingenzi cyari ukubwa dore d’ababyeyi, bikaba byagira uruhare mu kubura kw’abagore. Kugira ngo, kutabira kwa ibikoresho na madawa ya kibazo byari ikibazo kinini. Kwa mfano, abatoza serivisi za afya bategetse kuboneka kwa ababyeyi bazima zaidi na kugira ibikoresho by’ingenzi nko kwa mashine za ultrasound na ibikoresho by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano by’imibonano"
"Okonkwo was an imposing figure, tall and massive with a severe expression, a result of his bushy eyebrows and wide nose. His breathing was so heavy that his family could hear it from their own houses when he slept. When he walked, his heels barely touched the ground, making him seem poised to pounce on someone—which he often did. He had a slight stammer, and in moments of anger, he would resort to his fists when words failed him. He had no patience for men who were not successful, and this sentiment stemmed from his deep-seated shame for his own father.",literature,"[Okonkwo yari umuntu w'ingenzi, w'uburebure bwinshi n'umutwe mwinshi, uruhu rwe rwose rwaragaye kubera imyanya y'amaso y'aragaye n'umunwa mwinshi. Umwuka we wari ukomeye kubera ko umuryango we wabamwumva wakiri mu nzu zabo wakiri. Wakorera, amaguru y'abanyuma yake yagwa kugwa k'umuhanda, akaba ari mu kibuno cyo kugwa k'umuntu—kandi yabaga akora. Yari afite umwuka ushobora kugwa, na mu gihe cy'ikibazo, yagwa k'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'umwanya y'"
"The West African Examinations Council (WAEC) says officials implicated in acts of corruption during the Basic Education Certificate Examination (BECE) will be blacklisted from ever taking part in its activities again. Speaking on JoyNews’ PM Express on September 8, WAEC’s Director of Public Affairs, John Kapi, said the Council cannot continue to work with individuals who have betrayed the trust placed in them during national examinations.",news,"[Ushirika wa Ekizami wa Afurika ya Magharibi (WAEC) ushema ofisieli waliotajwa kuhusika na vitendo vya rushwa wakati wa Ekizami cha Shahada ya Kwanza ya Elimu (BECE) bazabarurwa kutokwenda kushiriki katika shughuli zake tena. Akiongea kwenye PM Express ya JoyNews mnamo Septemba 8, Mkurugenzi wa Masuala ya Umma wa WAEC, John Kapi, alisema Baraza halitaweza kuendelea kufanya kazi na watu binafsi ambao wamesaliti imani iliyowekwa kwao wakati wa majaribio ya kitaifa.]"
