Model,Source,Similarity Score (%),Raw Score
nvidia_deepseek_ai_deepseek_r1_0528,academic,51.14%,51.13830357789993
nvidia_deepseek_ai_deepseek_r1_0528,literature,66.72%,66.72000706195831
nvidia_deepseek_ai_deepseek_r1_0528,news,52.93%,52.93399631977081
nvidia_ai21labs_jamba_1_5_large_instruct,academic,51.14%,51.13830357789993
nvidia_ai21labs_jamba_1_5_large_instruct,literature,66.72%,66.72000706195831
nvidia_ai21labs_jamba_1_5_large_instruct,news,52.93%,52.93399631977081
nvidia_meta_llama_3_3_70b_instruct,academic,51.14%,51.13830357789993
nvidia_meta_llama_3_3_70b_instruct,literature,66.72%,66.72000706195831
nvidia_meta_llama_3_3_70b_instruct,news,52.93%,52.93399631977081
nvidia_abacusai_dracarys_llama_3_1_70b_instruct,academic,51.14%,51.13830357789993
nvidia_abacusai_dracarys_llama_3_1_70b_instruct,literature,66.72%,66.72000706195831
nvidia_abacusai_dracarys_llama_3_1_70b_instruct,news,52.93%,52.93399631977081
nvidia_qwen_qwq_32b,academic,51.14%,51.13830357789993
nvidia_qwen_qwq_32b,literature,66.72%,66.72000706195831
nvidia_qwen_qwq_32b,news,52.93%,52.93399631977081
nvidia_google_gemma_2_27b_it,academic,51.14%,51.13830357789993
nvidia_google_gemma_2_27b_it,literature,66.72%,66.72000706195831
nvidia_google_gemma_2_27b_it,news,52.93%,52.93399631977081
nvidia_nvidia_llama_3_1_nemotron_70b_instruct,academic,51.14%,51.13830357789993
nvidia_nvidia_llama_3_1_nemotron_70b_instruct,literature,66.72%,66.72000706195831
nvidia_nvidia_llama_3_1_nemotron_70b_instruct,news,52.93%,52.93399631977081
nvidia_deepseek_ai_deepseek_v3_1,academic,51.14%,51.13830357789993
nvidia_deepseek_ai_deepseek_v3_1,literature,66.72%,66.72000706195831
nvidia_deepseek_ai_deepseek_v3_1,news,52.93%,52.93399631977081
nvidia_openai_gpt_oss_120b,academic,51.14%,51.13830357789993
nvidia_openai_gpt_oss_120b,literature,66.72%,66.72000706195831
nvidia_openai_gpt_oss_120b,news,52.93%,52.93399631977081
nvidia_moonshotai_kimi_k2_instruct,academic,51.14%,51.13830357789993
nvidia_moonshotai_kimi_k2_instruct,literature,66.72%,66.72000706195831
nvidia_moonshotai_kimi_k2_instruct,news,52.93%,52.93399631977081
nvidia_nvidia_llama_3_1_nemotron_ultra_253b_v1,academic,51.14%,51.13830357789993
nvidia_nvidia_llama_3_1_nemotron_ultra_253b_v1,literature,66.72%,66.72000706195831
nvidia_nvidia_llama_3_1_nemotron_ultra_253b_v1,news,52.93%,52.93399631977081
nvidia_writer_palmyra_creative_122b,academic,51.14%,51.13830357789993
nvidia_writer_palmyra_creative_122b,literature,66.72%,66.72000706195831
nvidia_writer_palmyra_creative_122b,news,52.93%,52.93399631977081
nvidia_qwen_qwen3_coder_480b_a35b_instruct,academic,51.14%,51.13830357789993
nvidia_qwen_qwen3_coder_480b_a35b_instruct,literature,66.72%,66.72000706195831
nvidia_qwen_qwen3_coder_480b_a35b_instruct,news,52.93%,52.93399631977081
nvidia_gotocompany_gemma_2_9b_cpt_sahabatai_instruct,academic,51.14%,51.13830357789993
nvidia_gotocompany_gemma_2_9b_cpt_sahabatai_instruct,literature,66.72%,66.72000706195831
nvidia_gotocompany_gemma_2_9b_cpt_sahabatai_instruct,news,52.93%,52.93399631977081
